pd1;pd2;pd3;pd4;dt
-6,848123291;-5,150100067;-2,700801801;-1,387884921;2
-6,033617662;-4,672273395;-2,240582551;-0,873800315;3
-4,943538269;-4,59345301;-2,407304925;-1,743691523;4
-6,165243596;-4,857486953;-1,898734177;-1,304659498;5
-6,104801239;-3,134020619;-3,689513268;-0,942979225;6
-6,330150068;-4,675211186;-2,872421696;-3,098946044;7
-5,938538206;-3,605592347;-1,938931298;-1,276661996;1
-7,704938739;-3,407691255;-1,997733069;-0,997542287;2
-7,007095793;-3,392832811;-0,832157969;-1,464940976;3
-5,964263709;-5,870790198;-0,45941807;-0,503496503;4
-6,960784314;-2,62118019;-3,66562965;-0,49143499;5
-7,914650788;-2,276707531;-5,210918114;0,785340314;6
-6,140350877;-4,24808836;-2,114758947;-2,054691041;7
-4,864498645;-2,777382139;-1,611485497;-1,369863014;1
-7,353676838;-3,752699784;-3,239831697;-0,855196405;2
-5,803627267;-3,239941575;-4,336489639;-1,305408119;3
-4,862155388;-4,122760801;-3,448275862;-1,508252703;4
-6,246119459;-4,794701987;-2,045075125;-0,156227809;5
-6,42121136;-2,981066201;-0,3183391;-1,874479311;6
-7,568416918;-2,493271002;-3,036466657;-0,988912197;7
-4,190321709;-3,343679458;-2,671142899;-0,134973005;1
-5,754950495;-2,823374918;-3,094594595;-1,115604518;2
-6,658476658;-3,053435115;-2,660874287;-0,50209205;3
-7,027424094;-3,779299447;-0,574791296;-2,023399862;4
-6,359300477;-2,285490401;-3,167602245;-1,256038647;5
-5,77350111;-3,665881121;-3,533568905;-0,267681037;6
-6,207169215;-3,273851342;-2,919814062;-0,553643573;7
-4,810160789;-3,491838183;-3,750551552;0,397310513;1
-5,129829006;-3,511348465;-2,366127024;-0,637755102;2
-6,791192479;-4,286662243;-1,774819745;-0,903444382;3
-7,337862878;-2,506332489;-2,652810064;-0,196656834;4
-7,862529361;-2,75057024;-1,131346578;-0,79542283;5
-4,512119329;-3,31944806;-3,568062475;-1,117006423;6
-5,657671751;-3,813734973;-2,930613418;-0,991564304;7
-3,913867822;-3,284002819;-3,759836782;0,545124167;1
-5,852090032;-3,196721311;-0,818515382;-2,219692658;2
-5,360611161;-3,352031742;-1,727066818;-1,48372227;3
-7,070063694;-2,823851953;-1,819720694;-0,933908046;4
-5,893323387;-2,100673801;-2,98245614;-0,055640562;5
-5,770876635;-1,518100428;-2,371541502;-2,024291498;6
-5,916775033;-3,248099516;-3,185714286;-0,427917958;7
-4,382259768;-2,733296521;-1,972750497;-0,665991024;1
-4,878351539;-3,758319196;-2,928813559;0,293337058;2
-6,196840826;-2,759067358;-3,023844412;-0,370879121;3
-5,765480254;-2,781011512;-2,740819585;0,807113543;4
-4,442010466;-4,266428935;-1,862445124;-1,084451674;5
-6,495231196;-2,60813428;-2,346546467;-1,208254141;6
-6,662329213;-1,714763697;-3,021276596;-0,204768173;7
-4,785259809;-3,939857998;-2,405797101;0,742500743;1
-5,976640159;-4,030659442;-1,349490498;-0,67001675;2
-6,856721553;-3,627968338;-1,793292266;-0,069696125;3
-6,489711433;-3,502604167;-1,012009176;-2,099236641;4
-5,123479543;-3,289303289;-3,133369041;-1,257948576;5
-5,633630698;-2,71950272;-4,7657082;1,118255521;6
-7,532299742;-3,535000699;-1,535341831;-1,088555457;7
-2,861325526;-4,301959172;-1,70365068;-0,087387125;1
-5,609519184;-4,450733213;-2,719439957;1,273180183;2
-6,541600682;-2,124608968;-1,291783194;-2,657852132;3
-6,085889571;-3,723543245;-1,234902972;-0,769442154;4
-6,182926829;-3,041726245;-2,372972248;-1,592968965;5
-5,160009923;-2,118754905;-1,910742918;-0,844571584;6
-5,317785751;-4,750304507;-1,79028133;-1,244212963;7
-4,735412084;-2,526144235;-2,856346663;-0,960986804;1
-4,77865373;-3,502738505;-2,521119324;-0,649966148;2
-4,911472229;-1,862007397;-2,079272255;-0,915726609;3
-5,313952103;-4,894928904;-1,217253242;-1,888561479;4
-7,33911786;-2,679152035;-2,351997862;0,191597099;5
-6,863715063;-1,739476829;-2,675675676;-1,624548736;6
-5,906470211;-3,799019608;-1,231422505;-1,777013471;7
-4,043197682;-1,358770244;-3,15848059;1,336206897;1
-7,395343226;-1,602397082;-1,482854495;-1,948662814;2
-5,299206921;-4,466438269;-1,248505778;-1,022192334;3
-5,318650422;-3,996535511;-1,959015337;-0,959642435;4
-5,807728119;-3,793401705;-1,72103776;0,039205436;5
-8,513790745;-1,283169304;-2,322059566;-0,710594315;6
-5,40278619;-4,033807146;-1,254336803;-1,445945946;7
-3,998541565;-4,101785036;-1,240924092;-0,548055073;1
-4,764658263;-2,950819672;-1,689189189;-0,572737686;2
-6,707248337;-2,114548091;-2,530551784;0,063323202;3
-5,768151723;-3,918065976;-1,623698562;-1,42371173;4
-5,167724388;-3,166826004;-1,653708503;-0,652528548;5
-4,719126677;-3,461033536;-3,164791692;0,561726031;6
-4,461815995;-3,071500504;-1,883116883;-1,575115817;7
-3,643185669;-1,921869112;-2,21567623;-0,877537656;1
-6,587292756;-4,419297201;-1,582751745;0,227934659;2
-4,797500837;-4,664244697;-0,295021512;-1,010972753;3
-4,013194063;-4,501718213;-1,019551397;-1,22394571;4
-4,391346464;-5,009568839;-0,426641384;-0,154725065;5
-4,56422747;-2,885042166;-2,639396709;0,551578453;6
-6,134142231;-2,561340515;-1,105515293;-1,428393988;7
-3,488238669;-3,103079301;-0,773006135;-0,618276246;1
-4,643896132;-2,384180791;-2,511864799;0,688672524;2
-5,616567305;-5,08643617;-1,202568593;-0,862680217;3
-5,739058629;-2,244853263;-1,915537135;-0,593878483;4
-4,237817576;-2,283353267;-2,715032825;0,205878989;5
-5,53874092;-4,176011962;-1,426660722;-0,305291723;6
-4,888746256;-3,329209313;-2,19895288;-0,808945991;7
-2,380681171;-2,800466744;-1,236494598;-0,413273368;1
-3,4854591;-2,471504345;-0,636426753;-0,547339001;2
-5,2737691;-1,657891789;-1,845312678;-1,450620866;3
-5,63204005;-2,630415561;-1,396140749;-0,057557269;4
-4,279693073;-3,082307779;-1,293103448;-0,141626342;5
-4,451438849;-1,541176471;-2,330027482;-0,318081723;6
-4,321957791;-2,651648481;-1,181149813;-1,341627028;7
-0,437888914;-3,726851852;-2,356335658;-0,246244767;1
-5,244122966;-2,189043556;-0,895214048;-0,208453966;2
-4,263647905;-3,43684385;0,102998398;-1,234709043;3
-4,102077402;-1,506487794;-2,467343977;-0,721153846;4
-5,269696656;-1,56284153;-2,053958033;0,328723645;5
-5,824141841;-2,681698774;-3,284219998;-0,546575183;6
-5,614714424;-2,678062678;-2,213114754;-0,239492276;7
-3,621108412;-2,107674685;-0,947811842;-1,724748966;1
-5,192802057;-1,963123644;-2,323265848;-1,302525767;2
-4,944551836;-3,724713689;-1,978877154;-0,272201429;3
-4,906851267;-3,85397709;-1,915154214;-0,55624929;4
-6,511484824;-2,040144784;-1,08610458;-0,58863482;5
-4,515463918;-4,081191967;-1,316974336;-0,969544884;6
-4,673099859;-2,979981802;-1,992966002;-0,574162679;7
-2,394814896;-3,218908272;-1,639725549;-0,874911327;1
-5,565749235;-2,180483592;-0,937982785;-0,022279158;2
-4,724964739;-1,046843608;-3,472964309;0,110705192;3
-3,718762396;-5,0777629;-1,117621528;-0,307253374;4
-5,125908231;-3,399076794;-1,075152042;-0,53792952;5
-5,791581209;-2,508811943;-1,977881752;-0,390540247;6
-4,65236763;-4,162138666;-1,349359338;-1,896551724;7
-3,698129435;-3,01406564;-0,230202578;-2,411167513;1
-5,120209234;-3,541136556;-1,428885469;0,200713649;2
-4,632316158;-2,85354595;-0,572354212;-1,433691756;3
-4,327214041;-3,995782815;-0,889523391;-1,274238227;4
-5,33;-1,130241893;-2,681623932;-0,570863981;5
